study,dataset,method,case,wait,n_initializations,mse_median,nmse_median,difference_error_median,repeat_mse_median,wrong_ratio_median,repeat_vs_difference_median
pi4,screen,fixed_behavior,long8,0,3,0.09657151821965426,0.1293362005980568,,0.0692034207353433,2.1193712138699126,
pi4,screen,fixed_behavior,reset_iso,0,3,0.047767818289865684,0.17511904717885277,0.4847768887293778,0.04542759219700692,2.054585657396954,0.5475473809075976
pi4,screen,fixed_behavior,reset_iso,256,3,0.04670707191213319,0.17123030154178556,0.4840646038158771,0.045308420528347236,2.0539597312342366,0.5461109821926928
pi4,screen,fixed_behavior,reset_null,0,3,0.037793303351602796,0.13855201073895715,,0.031246501701039753,1.0,
pi4,screen,fixed_behavior,reset_null,256,3,0.03723515776818756,0.13650582302819253,,0.0313479507411579,1.0,
pi4,screen,fixed_behavior,reset_ring4,0,3,0.03261231040683294,0.11955824923989065,0.42110551183496864,0.03168746809897859,2.1020357496087922,0.5003722143540793
pi4,screen,fixed_behavior,reset_ring4,256,3,0.0325345938213385,0.11927333661693612,0.421074914469401,0.03171034956803115,2.136459658529385,0.5007335323142817
pi4,screen,fixed_behavior,ring4,0,3,0.023558002496356756,0.03155073662224163,,0.0084450757236818,1.6627833590592669,
pi4,screen,fixed_behavior,ring8,0,3,0.01969377566030674,0.026375458999630504,,0.006426879175586435,1.7097646324779265,
pi4,screen,fixed_mse,long8,0,3,0.13442205185038014,0.18002862317416515,,8.525077460848411e-05,0.9967960922627711,
pi4,screen,fixed_mse,reset_iso,0,3,0.05022310611043315,0.1841202467119459,0.9990641984032946,5.555686117160035e-05,1.0008209288097363,0.0006696373801638787
pi4,screen,fixed_mse,reset_iso,256,3,0.050466170789222047,0.1850113331478817,0.9991303910267678,5.25854714267198e-05,1.000814418052987,0.0006338226562531485
pi4,screen,fixed_mse,reset_null,0,3,0.05236276730702125,0.19196434433763895,,3.894732157416591e-05,1.0,
pi4,screen,fixed_mse,reset_null,256,3,0.05133234764401438,0.18818677784956675,,3.3513957917048515e-05,1.0,
pi4,screen,fixed_mse,reset_ring4,0,3,0.040968748020307935,0.15019333882680053,0.9966566376626278,4.6927526769563855e-05,1.00266791031255,0.000741025771150327
pi4,screen,fixed_mse,reset_ring4,256,3,0.04093539718450864,0.15007107310906667,0.997344499936608,3.452173275177321e-05,1.0021068108122295,0.000545127676543564
pi4,screen,fixed_mse,ring4,0,3,0.023740063132206817,0.03179456659771903,,6.105209611486316e-05,1.0017993664783138,
pi4,screen,fixed_mse,ring8,0,3,0.018458332910477337,0.024720856542662706,,6.0710300657494086e-05,0.9931080855496524,
pi4,screen,free_behavior,long8,0,3,0.11733205736765003,0.15714035347118127,,8.888736952289541e-05,1.002094637293207,
pi4,screen,free_behavior,reset_iso,0,3,0.04861496635340173,0.17822473144531037,1.001069024704979,5.829018694956583e-05,0.999064287435814,0.0007025826739492454
pi4,screen,free_behavior,reset_iso,256,3,0.0483692046801232,0.17732375770193246,1.0000410980148542,1.1039900505989694e-07,0.9999618891370845,1.3306601374160869e-06
pi4,screen,free_behavior,reset_null,0,3,0.05853726023565555,0.21460032306108848,,9.726301931202687e-05,1.0,
pi4,screen,free_behavior,reset_null,256,3,0.05626973956436604,0.20628748664463406,,1.241004694859351e-07,1.0,
pi4,screen,free_behavior,reset_ring4,0,3,0.041741776090925276,0.15302729574623838,1.0001220734146872,6.681747703472691e-05,0.9999943505822888,0.0010551050919242373
pi4,screen,free_behavior,reset_ring4,256,3,0.040749919896265765,0.1493911047296588,0.9999919269175478,2.014216528388883e-07,1.00000639701393,3.1806201156570747e-06
pi4,screen,free_behavior,ring4,0,3,0.02180157860477094,0.02919839509375224,,0.00011009134425025357,0.9981118130288692,
pi4,screen,free_behavior,ring8,0,3,0.017224776042012797,0.023068779806891038,,8.53520258520764e-05,1.0049493838440682,
pi4,screen,free_mse,long8,0,3,0.11581999570962971,0.15511528113594544,,3.271662521759693e-05,0.9987779910066468,
pi4,screen,free_mse,reset_iso,0,3,0.04656377199034589,0.1707049573526933,1.0002412533937217,2.7976127572105594e-05,0.9998483181137717,0.00033720156933724773
pi4,screen,free_mse,reset_iso,256,3,0.046414350171454816,0.17015717000362177,1.000012138278559,5.904066667076514e-08,0.9999891882542402,7.116283483047094e-07
pi4,screen,free_mse,reset_null,0,3,0.055961107813926915,0.2051560282694981,,2.5352574656687264e-05,1.0,
pi4,screen,free_mse,reset_null,256,3,0.05443749525855037,0.199570393661943,,5.389916804482487e-08,1.0,
