study,dataset,method,seed,case,kind,wait,mse,nmse,difference_error,difference_target_energy,difference_output_energy,repeat_mse,wrong_mse,wrong_ratio,repeat_vs_difference,source_file,source_pointer
pi4,screen,fixed_mse,727,ring4,general,0,0.02647635931446708,0.035459230449430994,,,,3.329750431915631e-05,0.02652399998788532,1.0017993664783138,,results/source_records/pi4/run/summary.json,/records/0
pi4,screen,fixed_mse,727,ring8,general,0,0.018458332910477337,0.024720856542662706,,,,3.8764683626555027e-05,0.01856850806100312,1.0059688570500993,,results/source_records/pi4/run/summary.json,/records/1
pi4,screen,fixed_mse,727,long8,general,0,0.12322977737293195,0.16503904567087657,,,,6.872241262824496e-05,0.12283496053574981,0.9967960922627711,,results/source_records/pi4/run/summary.json,/records/2
pi4,screen,fixed_mse,727,reset_iso,reset,0,0.04754758418432512,0.17431165868803838,0.9988894170618601,0.08296559125478338,4.050848970900576e-06,5.555686117160035e-05,0.04759567969446619,1.001011523739137,0.0006696373801638787,results/source_records/pi4/run/summary.json,/records/3
pi4,screen,fixed_mse,727,reset_iso,reset,256,0.04670723557021402,0.17123090151993411,0.9991303910267678,0.08296559125478338,3.930807785503396e-06,5.25854714267198e-05,0.04674527478606752,1.000814418052987,0.0006338226562531485,results/source_records/pi4/run/summary.json,/records/4
pi4,screen,fixed_mse,727,reset_ring4,reset,0,0.0399861062800236,0.1465909284292281,0.9987800103994265,0.06332779317069659,4.675554187761514e-06,4.435960886674238e-05,0.04002707368143448,1.0010245409023821,0.0007004761518717933,results/source_records/pi4/run/summary.json,/records/5
pi4,screen,fixed_mse,727,reset_ring4,reset,256,0.03963839755353121,0.14531621203942727,0.9988986085294043,0.06332779317069659,4.66333852044596e-06,3.452173275177321e-05,0.03967560356815698,1.0009386356896874,0.000545127676543564,results/source_records/pi4/run/summary.json,/records/6
pi4,screen,fixed_mse,727,reset_null,reset,0,0.05236276730702125,0.19196434433763895,,0.0,0.0,3.894732157416591e-05,0.05236276730702125,1.0,,results/source_records/pi4/run/summary.json,/records/7
pi4,screen,fixed_mse,727,reset_null,reset,256,0.05133234764401438,0.18818677784956675,,0.0,0.0,3.3513957917048515e-05,0.05133234764401438,1.0,,results/source_records/pi4/run/summary.json,/records/8
pi4,screen,fixed_mse,733,ring4,general,0,0.023740063132206817,0.03179456659771903,,,,0.00016635809560653944,0.023640877685064714,0.9958220226041631,,results/source_records/pi4/run/summary.json,/records/9
pi4,screen,fixed_mse,733,ring8,general,0,0.01826740021831712,0.024465144409010705,,,,0.00017610678542300426,0.01805978466806569,0.9886346416145604,,results/source_records/pi4/run/summary.json,/records/10
pi4,screen,fixed_mse,733,long8,general,0,0.13640576945214364,0.18268537438199034,,,,0.0014233869823805038,0.13535838667722036,0.9923215654357587,,results/source_records/pi4/run/summary.json,/records/11
pi4,screen,fixed_mse,733,reset_iso,reset,0,0.0512198937363118,0.1877745165851122,1.0003671502323528,0.08296559125478338,2.982878166525726e-05,0.0004322678129810368,0.051219577709149165,0.9999938299918336,0.0052102058991367025,results/source_records/pi4/run/summary.json,/records/12
