study,baseline,category,candidate_lower_count,n_paired_comparisons,note
t1,free_behavior,mechanism,18,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,free_behavior,short,11,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,free_behavior,long,9,9,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,graph32_behavior,mechanism,6,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,graph32_behavior,short,0,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,graph32_behavior,long,9,9,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,gru32_behavior,mechanism,0,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,gru32_behavior,short,0,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,gru32_behavior,long,7,9,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,gru4_behavior,mechanism,16,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,gru4_behavior,short,5,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,gru4_behavior,long,9,9,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,node32_behavior,mechanism,18,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,node32_behavior,short,0,18,"Descriptive paired counts, NOT independent dataset count or a significance test."
t1,node32_behavior,long,9,9,"Descriptive paired counts, NOT independent dataset count or a significance test."
