study,dataset,method,seed,updates,parameters,persistent_dimension,elapsed_seconds,cap_seconds,validation_calls,source_file,clock_source
t1,t02,gru32_behavior,971,11580,4082,32,570.5866492278874,600,20,results/source_records/t1/run/datasets/t02/trials/gru32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,fixed_behavior,971,2259,1510,4,570.2485319329426,600,20,results/source_records/t1/run/datasets/t02/trials/fixed_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,free_behavior,971,2822,1892,4,570.36555177439,600,20,results/source_records/t1/run/datasets/t02/trials/free_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,gru4_behavior,971,13765,1198,4,570.5817246902734,600,20,results/source_records/t1/run/datasets/t02/trials/gru4_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,graph32_behavior,971,9334,8786,32,570.5203329706565,600,20,results/source_records/t1/run/datasets/t02/trials/graph32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,node32_behavior,971,9441,3970,32,570.5757974162698,600,20,results/source_records/t1/run/datasets/t02/trials/node32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,fixed_behavior,971,2494,1510,4,570.1521212570369,600,20,results/source_records/t1/run/datasets/t01/trials/fixed_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,free_behavior,971,2818,1892,4,570.1511019282043,600,20,results/source_records/t1/run/datasets/t01/trials/free_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,gru4_behavior,971,11683,1198,4,570.6166865592822,600,20,results/source_records/t1/run/datasets/t01/trials/gru4_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,graph32_behavior,971,9183,8786,32,570.5808467539027,600,20,results/source_records/t1/run/datasets/t01/trials/graph32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,node32_behavior,971,9226,3970,32,570.621277234517,600,20,results/source_records/t1/run/datasets/t01/trials/node32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,gru32_behavior,971,11080,4082,32,570.669601963833,600,20,results/source_records/t1/run/datasets/t01/trials/gru32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,free_behavior,983,2822,1892,4,570.1345156906173,600,20,results/source_records/t1/run/datasets/t03/trials/free_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,gru4_behavior,983,12136,1198,4,570.610257464461,600,20,results/source_records/t1/run/datasets/t03/trials/gru4_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,graph32_behavior,983,8759,8786,32,570.5683582536876,600,20,results/source_records/t1/run/datasets/t03/trials/graph32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,node32_behavior,983,9630,3970,32,570.6268904516473,600,20,results/source_records/t1/run/datasets/t03/trials/node32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,gru32_behavior,983,11806,4082,32,570.6754498183727,600,20,results/source_records/t1/run/datasets/t03/trials/gru32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,fixed_behavior,983,2537,1510,4,570.1225260216743,600,20,results/source_records/t1/run/datasets/t03/trials/fixed_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,gru4_behavior,983,11614,1198,4,570.6653117416427,600,20,results/source_records/t1/run/datasets/t01/trials/gru4_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,graph32_behavior,983,8576,8786,32,570.5292254015803,600,20,results/source_records/t1/run/datasets/t01/trials/graph32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,node32_behavior,983,9557,3970,32,570.5787609210238,600,20,results/source_records/t1/run/datasets/t01/trials/node32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,gru32_behavior,983,11454,4082,32,570.6411130828783,600,20,results/source_records/t1/run/datasets/t01/trials/gru32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,fixed_behavior,983,2524,1510,4,570.0228281328455,600,20,results/source_records/t1/run/datasets/t01/trials/fixed_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,free_behavior,983,2621,1892,4,570.1281824279577,600,20,results/source_records/t1/run/datasets/t01/trials/free_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,graph32_behavior,983,9502,8786,32,570.6116932407022,600,20,results/source_records/t1/run/datasets/t02/trials/graph32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,node32_behavior,983,9312,3970,32,570.6160958465189,600,20,results/source_records/t1/run/datasets/t02/trials/node32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,gru32_behavior,983,11719,4082,32,570.6313323955983,600,20,results/source_records/t1/run/datasets/t02/trials/gru32_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,fixed_behavior,983,2570,1510,4,570.1620888244361,600,20,results/source_records/t1/run/datasets/t02/trials/fixed_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,free_behavior,983,2923,1892,4,570.2293683532625,600,20,results/source_records/t1/run/datasets/t02/trials/free_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,gru4_behavior,983,11844,1198,4,570.6579714333639,600,20,results/source_records/t1/run/datasets/t02/trials/gru4_behavior_s983/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,node32_behavior,971,8705,3970,32,570.5488644763827,600,20,results/source_records/t1/run/datasets/t03/trials/node32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,gru32_behavior,971,11800,4082,32,570.632217662409,600,20,results/source_records/t1/run/datasets/t03/trials/gru32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,fixed_behavior,971,2426,1510,4,570.1736574778333,600,20,results/source_records/t1/run/datasets/t03/trials/fixed_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,free_behavior,971,2750,1892,4,570.0169540569186,600,20,results/source_records/t1/run/datasets/t03/trials/free_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,gru4_behavior,971,11637,1198,4,570.6618814161047,600,20,results/source_records/t1/run/datasets/t03/trials/gru4_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,graph32_behavior,971,8166,8786,32,570.5915160495788,600,20,results/source_records/t1/run/datasets/t03/trials/graph32_behavior_s971/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,gru32_behavior,977,11785,4082,32,570.6167175853625,600,20,results/source_records/t1/run/datasets/t01/trials/gru32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,fixed_behavior,977,2531,1510,4,570.0631572427228,600,20,results/source_records/t1/run/datasets/t01/trials/fixed_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,free_behavior,977,2888,1892,4,570.1961008552462,600,20,results/source_records/t1/run/datasets/t01/trials/free_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,gru4_behavior,977,13242,1198,4,570.625969177112,600,20,results/source_records/t1/run/datasets/t01/trials/gru4_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,graph32_behavior,977,9258,8786,32,570.6350785829127,600,20,results/source_records/t1/run/datasets/t01/trials/graph32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t01,node32_behavior,977,8953,3970,32,570.55694313813,600,20,results/source_records/t1/run/datasets/t01/trials/node32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,fixed_behavior,977,2478,1510,4,570.3613294158131,600,20,results/source_records/t1/run/datasets/t03/trials/fixed_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,free_behavior,977,2526,1892,4,570.2153883930296,600,20,results/source_records/t1/run/datasets/t03/trials/free_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,gru4_behavior,977,11882,1198,4,570.6460538581014,600,20,results/source_records/t1/run/datasets/t03/trials/gru4_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,graph32_behavior,977,9340,8786,32,570.6619424475357,600,20,results/source_records/t1/run/datasets/t03/trials/graph32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,node32_behavior,977,9557,3970,32,570.5505216782913,600,20,results/source_records/t1/run/datasets/t03/trials/node32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t03,gru32_behavior,977,11824,4082,32,570.5856586638838,600,20,results/source_records/t1/run/datasets/t03/trials/gru32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,free_behavior,977,2903,1892,4,570.334148844704,600,20,results/source_records/t1/run/datasets/t02/trials/free_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,gru4_behavior,977,11754,1198,4,570.6463616769761,600,20,results/source_records/t1/run/datasets/t02/trials/gru4_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,graph32_behavior,977,8164,8786,32,570.5534219844267,600,20,results/source_records/t1/run/datasets/t02/trials/graph32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,node32_behavior,977,8551,3970,32,570.5559438783675,600,20,results/source_records/t1/run/datasets/t02/trials/node32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,gru32_behavior,977,11214,4082,32,570.7051824918017,600,20,results/source_records/t1/run/datasets/t02/trials/gru32_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
t1,t02,fixed_behavior,977,2110,1510,4,570.2572528235614,600,20,results/source_records/t1/run/datasets/t02/trials/fixed_behavior_s977/result.json,results/source_records/t1/run/WALL_COST.json
